"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test for pet","","","0","0","6","1","0"
"POST: Add a new pet to the store","","","0","0","5","0","0"
"Test post pet","","","0","0","2","0","0"
"Test update pet","","","0","0","2","0","0"
"Test get pets","","","0","0","12","0","0"
"","","","1","0","23","0","0"
"Test GET method for pets","","","0","0","13","0","0"
"Test delete pets","","","0","0","3","0","0"
"Testing Create The Pets","","","0","1","0","0","0"
"Testing Create a Store","","","0","1","0","0","0"
