"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 00:30:33 GMT 2023","Mon Nov 13 00:30:34 GMT 2023","253","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_keys",""
"passed","Mon Nov 13 00:30:38 GMT 2023","Mon Nov 13 00:30:38 GMT 2023","255","tests.test_kate","test_users","TestCreateUsers","","","test_get_user_check_status_code",""
"passed","Mon Nov 13 00:30:34 GMT 2023","Mon Nov 13 00:30:34 GMT 2023","289","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_keys",""
"broken","Mon Nov 13 00:30:28 GMT 2023","Mon Nov 13 00:30:28 GMT 2023","302","tests.test_denis.test_store","test_create_store","TestCreateStore","","","Create store with valid data has status code 200","
        This test checks if response has status code 200
        "
"passed","Mon Nov 13 00:30:55 GMT 2023","Mon Nov 13 00:30:55 GMT 2023","272","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by status > response is JSON format","
        The test checks if the response content type is JSON
        :param for status: ""available"", ""pending"",  ""sold""
        :return: JSON format
        "
"skipped","Mon Nov 13 00:30:48 GMT 2023","Mon Nov 13 00:30:48 GMT 2023","0","tests.test_nata","test_pets","TestPet","","","post_uploads_an_image_pet",""
"passed","Mon Nov 13 00:30:28 GMT 2023","Mon Nov 13 00:30:28 GMT 2023","353","tests.test_galya","test_example","","","","test_get_find_pets_by_status_pending",""
"passed","Mon Nov 13 00:30:31 GMT 2023","Mon Nov 13 00:30:31 GMT 2023","287","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_is_json",""
"passed","Mon Nov 13 00:30:29 GMT 2023","Mon Nov 13 00:30:29 GMT 2023","294","tests.test_galya","test_example","","","","test_get_purchase_by_id",""
"passed","Mon Nov 13 00:30:32 GMT 2023","Mon Nov 13 00:30:33 GMT 2023","330","tests.test_kate","test_get_pets","TestsGetPets","","","test_get_pets_check_status",""
"passed","Mon Nov 13 00:30:45 GMT 2023","Mon Nov 13 00:30:46 GMT 2023","305","tests.test_nata","test_pets","TestPet","","","get_finds_pets_by_status",""
"passed","Mon Nov 13 00:30:56 GMT 2023","Mon Nov 13 00:30:56 GMT 2023","271","tests.test_vera","test_pets_get","TestGetPet","","","Get pet by ID > non existing ID > error messages is 'Pet not found'","
        This test validates error message in the response for retrieving pet information by non-existing ID
        :param : invalid pet_id = -1
        :return: test for error message
        "
